Speed Angle
0.0, 89
0.0, 89
0.4, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.0, 89
0.8, 89
2.1, 89
2.6, 89
2.6, 89
3.9, 179
6.0, 179
5.2, 166
5.7, 166
8.8, 168
7.9, 168
8.3, 168
8.4, 168
7.7, 171
4.8, 171
5.1, 172
3.4, 172
3.2, 166
3.2, 166
4.4, 134
4.4, 134
4.4, 134
4.6, 134
4.5, 134
4.0, 134
4.5, 151
4.0, 151
3.1, 162
2.6, 162
3.1, 162
2.8, 162
3.3, 147
2.8, 147
3.1, 147
2.3, 147
2.8, 157
2.5, 157
3.6, 134
3.2, 134
2.9, 134
1.6, 134
1.6, 134
0.4, 134
0.4, 134
0.4, 134
0.4, 89
0.4, 89
0.4, 89
0.5, 89
0.8, 89
1.7, 89
2.6, 89
3.4, 89
4.3, 134
4.8, 134
4.2, 144
3.9, 144
4.2, 147
3.4, 147
3.4, 157
3.2, 157
3.9, 157
4.8, 157
4.6, 147
4.4, 147
4.8, 147
4.3, 147
6.4, 147
10.8, 147
11.2, 141
10.4, 141
9.6, 134
5.6, 134
6.9, 134
9.8, 134
13.0, 134
15.6, 134
16.0, 143
14.0, 143
10.4, 144
13.2, 144
13.9, 143
15.0, 143
13.2, 148
12.8, 148
7.8, 151
4.8, 151
4.4, 144
2.8, 144
2.8, 141
2.1, 141
2.4, 134
1.7, 134
3.2, 134
3.6, 134
4.1, 134
4.0, 134
4.5, 134
4.0, 134
3.6, 134
3.2, 134
3.2, 134
2.4, 134
1.6, 134
2.4, 134
3.2, 134
3.5, 134
5.2, 134
6.9, 134
5.9, 144
4.8, 144
4.9, 144
4.4, 144
2.8, 147
4.1, 147
5.3, 134
4.8, 134
4.8, 127
5.2, 127
4.8, 134
4.0, 134
4.5, 134
3.6, 134
3.7, 134
5.6, 134
6.0, 134
7.5, 134
8.9, 161
9.6, 161
10.2, 168
10.9, 168
11.7, 172
12.2, 172
10.6, 174
9.5, 174
8.7, 174
7.8, 174
7.0, 172
7.5, 172
7.9, 171
7.9, 171
6.4, 170
5.2, 170
4.6, 171
4.2, 171
4.0, 166
3.9, 166
4.0, 162
3.6, 162
3.3, 157
3.7, 157
5.3, 157
6.4, 157
6.4, 162
6.5, 162
6.4, 144
5.7, 144
4.5, 134
5.7, 134
5.9, 116
5.9, 116
5.6, 107
5.4, 107
4.6, 100
4.5, 100
4.4, 116
3.2, 116
2.8, 134
4.0, 134
3.6, 134
3.2, 134
4.0, 134
4.0, 134
4.0, 134
4.0, 134
4.8, 134
3.6, 134
2.8, 134
2.8, 134
2.4, 134
2.0, 134
2.0, 134
2.4, 134
1.2, 134
1.6, 134
2.4, 134
2.4, 134
2.8, 134
2.8, 134
2.8, 134
2.0, 134
2.4, 134
2.4, 134
2.8, 134
4.0, 134
4.0, 134
4.4, 134
5.2, 134
4.8, 134
3.6, 134
3.2, 134
2.8, 134
2.4, 134
